"lang"
{
"Language"	"russian"
		"DOTA_Tooltip_ability_inherit_troll_buff_armor_bonus"						"Бонусная броня :"
		"DOTA_Tooltip_modifier_inherit_troll_buff"								"Warlord buff"
		"DOTA_Tooltip_modifier_inherit_troll_buff_Description"					"Является одним из вожаков троллей."

		"DOTA_Tooltip_ability_troll_buff"									"Troll buff"
		"DOTA_Tooltip_ability_troll_buff_Description"						"Под командованием вождя тролли становятся сильнее "
		"DOTA_Tooltip_ability_troll_buff_evasion_bonus"						"Дополнительное уклонение :"
		"DOTA_Tooltip_ability_troll_buff_hp_bonus"						"Бонус здоровья :"
		"DOTA_Tooltip_ability_troll_buff_magical_resist"						"Магическая защита :"
		"DOTA_Tooltip_ability_troll_buff_armor_bonus"						"Бонусная броня :"

"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven"	"Berserker's Rage"
"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_Description"	"Используя свою ярость ,Troll Warlord увеличивает силу своих атак , а также увеличивает их точность !"
"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_Lore"	"У Troll Warlord нескончаема как злоба, так и топоры."
"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_accuracy_perc"	"%ТОЧНОСТЬ:"
"DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_bonus_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"

"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven"	"Whirling Axes "
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_Description"	"Troll вращает два топора вокруг себя в небольшом радиусе действия, нанося урон вражеским существам , заставляя их промахиваться во время атак и уменьшая их броню."
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_damage"	"УРОН:"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_max_range"	"РАДИУС:"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_blind_duration"	"ДЛИТЕЛЬНОСТЬ ПРОМАХОВ:"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_blind_pct"	"%ШАНС ПРОМАХА:"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_armor_penalty"	"СНИЖЕНИЕ БРОНИ:"

"DOTA_Tooltip_ability_troll_warlord_fervor"	"Fervor"
"DOTA_Tooltip_ability_troll_warlord_fervor_Description"	"Каждый последующий удар по одной и той же цели увеличивает скорость атаки тролля. Если тролль сменит цель, бонус обнулится."
"DOTA_Tooltip_ability_troll_warlord_fervor_Lore"	"Если не удалось в первый раз — бей, бей еще."
"DOTA_Tooltip_ability_troll_warlord_fervor_max_stacks"	"МАКС. КОЛ-ВО:"
"DOTA_Tooltip_ability_troll_warlord_fervor_attack_speed"	"СКОРОСТИ АТАКИ ЗА УДАР:"

	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven"	"Battle Trance"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_Description"	"Истинное безумие позволяет атаковать с большей скоростью и оглушать каждой атакой !"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_Lore"	"Всплеск адреналина, вызванный чистой злобой, ускорит твои лезвия."
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_trance_duration"	"ДЛИТЕЛЬНОСТЬ:"
//	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_attack_speed"	"СКОРОСТЬ АТАКИ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_attack_const"	"ЗАДЕРЖКА АТАКИ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_bash_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_bonus_damage"	"УРОН ОГЛУШЕНИЯ:"

	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass"	"Battle Trance"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_Description"	"Истинное безумие позволяет атаковать всем союзникам с большей скоростью и оглушать каждой атакой !"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_Lore"	"Всплеск адреналина, вызванный чистой злобой, ускорит твои лезвия."
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_trance_duration"	"ДЛИТЕЛЬНОСТЬ:"
//	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_attack_speed"	"СКОРОСТЬ АТАКИ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_attack_const"	"ЗАДЕРЖКА АТАКИ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_bash_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_bonus_damage"	"УРОН ОГЛУШЕНИЯ:"
	"DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_radius"	"РАДИУС:"

"DOTA_Tooltip_modifier_troll_warlord_fervor"	"Fervor"
"DOTA_Tooltip_modifier_troll_warlord_fervor_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_modifier_troll_warlord_whirling_axes_blind"	"Ослепление от Whirling Axes"
"DOTA_Tooltip_modifier_troll_warlord_whirling_axes_blind_Description"	"Ослеплен, имеет шанс промахнуться в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%%."

"DOTA_Tooltip_modifier_troll_warlord_battle_trance"	"Battle Trance"
"DOTA_Tooltip_modifier_troll_warlord_battle_trance_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

//Huskar
		"npc_dota_hero_huskar"	"Хускар"
		"DOTA_Tooltip_ability_inherit_huskar_buff"									"Huskar buff"
		"DOTA_Tooltip_ability_inherit_huskar_buff_Description"						"Неназванный король троллей, умелый правитель, который одним своим видом воодушевляет своих подданных на величайшие жертвы, которые вносят огромный вклад в победу! "
		"DOTA_Tooltip_ability_inherit_huskar_buff_dmg_bonus"						"Бонусный урон :"
		"DOTA_Tooltip_ability_inherit_huskar_buff_as_bonus"						"Бонусная скорость атаки :"
		"DOTA_Tooltip_modifier_inherit_huskar_buff_fervor"								"Huskar buff"
		"DOTA_Tooltip_modifier_inherit_huskar_buffr_Description"					"Является одним из вожаков троллей ."

		"DOTA_Tooltip_ability_huskar_buff"									"Huskar buff"
		"DOTA_Tooltip_ability_huskar_buff_Description"						"Под командованием вождя тролли становятся сильнее "
		"DOTA_Tooltip_ability_huskar_buff_dmg_bonus"						"Бонусный урон :"
		"DOTA_Tooltip_ability_huskar_buff_as_bonus"						"Бонусная скорость атаки :"

		"DOTA_Tooltip_ability_huskar_inherit_vitality"									"Inherit vitality"
		"DOTA_Tooltip_ability_huskar_inherit_vitality_Description"						"Врожденная живучесть троллей даёт дополнительное здоровье и регенерацию. Собирает души павших войнов, чтобы временно увеличить бонус."
		"DOTA_Tooltip_ability_huskar_inherit_vitality_bonus_health"						"БОНУС ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_huskar_inherit_vitality_bonus_regen"						"БОНУС РЕГЕНЕРАЦИИ:"
		"DOTA_Tooltip_ability_huskar_inherit_vitality_bonus_health_stack"				"БОНУС ЗДОРОВЬЯ ЗА СТАК:"
		"DOTA_Tooltip_ability_huskar_inherit_vitality_bonus_regen_stack"				"БОНУС РЕГЕНЕРАЦИИ ЗА СТАК:"
		"DOTA_Tooltip_ability_huskar_inherit_vitality_buff_duration"					"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_huskar_inherit_vitality_passive"									"Inherit vitality"
		"DOTA_Tooltip_modifier_huskar_inherit_vitality_passive_Description"						"Количество собранных душ"

		"DOTA_Tooltip_ability_huskar_fire_spear"									"Fire spear"
		"DOTA_Tooltip_ability_huskar_fire_spear_Description"						"Герой поджигает своё копьё ,чтобы добавить к обычной атаке складывающийся периодический урон."
		"DOTA_Tooltip_ability_huskar_fire_spear_fire_duration"						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_huskar_fire_spear_dmg_per_sec"						"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_modifier_huskar_fire_spear_counter"							"Fire spear"
		"DOTA_Tooltip_modifier_huskar_fire_spear_counter_Description"				"ВЫ ГОРИТЕ !"

		"DOTA_Tooltip_ability_huskar_double_spear"									"Double spear"
		"DOTA_Tooltip_ability_huskar_double_spear_Description"						"Есть шанс совершить дополнительную атаку !"
		"DOTA_Tooltip_ability_huskar_double_spear_trigger_chance"					"ШАНС СРАБАТЫВАНИЯ:"

		"DOTA_Tooltip_ability_huskar_summon_dazzle"									"Summon Dazzle"
		"DOTA_Tooltip_ability_huskar_summon_dazzle_Description"						"Вызывает своего верного друга для помощи в бою !"
		"DOTA_Tooltip_ability_huskar_summon_dazzle_summon_duration"					"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_huskar_summon_dazzle_interval"						"ИНТЕРВАЛ ЛЕЧЕНИЯ:"
		"DOTA_Tooltip_ability_huskar_summon_dazzle_heal_pct"						"%ЛЕЧЕНИЕ:"

//Tiny
		"npc_dota_hero_tiny"	"Tiny"
		"DOTA_Tooltip_ability_inherit_tiny_buff"									"Tiny buff"
		"DOTA_Tooltip_ability_inherit_tiny_buff_Description"						"Одним своим грозным видом, этот герой воодушевляет подобных ему существ, от маленького камешка, до огромного валуна!"
		"DOTA_Tooltip_ability_inherit_tiny_buff_as_bonus"						"Бонусная скорость атаки :"
		"DOTA_Tooltip_ability_inherit_tiny_buff_hp_bonus"						"Бонус здоровья :"
		"DOTA_Tooltip_ability_inherit_tiny_buff_armor_bonus"						"Бонусная броня :"
		"DOTA_Tooltip_modifier_inherit_tiny_buff"								"Tiny buff"
		"DOTA_Tooltip_modifier_inherit_tiny_buff_Description"					"Является вожаком големов."

		"DOTA_Tooltip_ability_tiny_trample"	"Trample"
		"DOTA_Tooltip_ability_tiny_trample_Description"	"Герой наваливается на вражеских существ своим каменным телом. Он получает дополнительную скорость передвижения и возможность проходить сквозь существ, а каждому врагу на пути героя нанесётся часть его урона от атаки."
		"DOTA_Tooltip_ability_tiny_trample_attack_factor_tooltip"	"%УРОН ОТ АТАКИ:"
		"DOTA_Tooltip_ability_tiny_trample_bonus_movespeed_pct"	"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_tiny_trample_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
		"DOTA_Tooltip_ability_tiny_trample_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_modifier_tiny_trample"	"Trample"
		"DOTA_Tooltip_modifier_tiny_trample_Description"	"Stunned"
		
		"DOTA_Tooltip_ability_tiny_grow_custom"	"Shape change"
		"DOTA_Tooltip_ability_tiny_grow_custom_Description"	"Тини может контролировать массу своего тела становясь более броннированным или быстрым !"
		"DOTA_Tooltip_ability_tiny_grow_custom_bonus_damage"	"БОНУС УРОНА:"
		"DOTA_Tooltip_ability_tiny_grow_custom_bonus_armor"	"БОНУС БРОНИ:"
		"DOTA_Tooltip_ability_tiny_grow_custom_status_resistance"	"СОПРОТИВЛЕНИЕ ЭФФЕКТАМ:"
		"DOTA_Tooltip_ability_tiny_grow_custom_attack_const"	"БАЗОВАЯ СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_tiny_grow_custom_bonus_ms"	"БОНУС СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"

		"DOTA_Tooltip_ability_tiny_buff"									"Tiny buff"
		"DOTA_Tooltip_ability_tiny_buff_Description"						"Под командованием вождя големы становятся сильнее "
		"DOTA_Tooltip_ability_tiny_buff_as_bonus"						"Бонусная скорость атаки :"
		"DOTA_Tooltip_ability_tiny_buff_hp_bonus"						"Бонус здоровья :"
		"DOTA_Tooltip_ability_tiny_buff_armor_bonus"						"Бонусная броня :"

		"DOTA_Tooltip_ability_tiny_rage"									"Stone rage"
		"DOTA_Tooltip_ability_tiny_rage_Description"						"Увеличивает скорость атаки , давая неуязвимость к магии !"
